bank_partner,country_code,currency_supported,payment_rail,average_completion_time_in_seconds,number_of_failures_per_thousand_transactions,active,routing_code,operating_hours,is_weekend,cost_in_us_cents,discounted_cost_in_us_cents,discount_rule,transaction_date
New Bank of India,IN,INR,IMPS,1963,11,True,IN7934417894,00:00-23:59,False,1555,1555,,2025-04-16 07:16:50
Barclays,UK,GBP,DIRECT,3454,8,False,GIYOGB9LPDM,00:00-23:59,False,184,184,,2025-04-02 03:05:31
Union Bank of India,IN,INR,NEFT,2571,9,True,IN1949174168,08:00-19:00,True,233,163,30% weekend discount,2025-01-19 03:37:49
Alliance Bank,US,USD,CHIPS,1438,7,True,050866486,00:00-23:59,False,1161,1161,,2025-04-23 03:34:52
Yes Bank,IN,INR,NEFT,536,16,True,IN1487378379,08:00-19:00,False,120,120,,2025-04-18 06:00:33
Punjab National Bank,IN,INR,NEFT,1984,19,True,IN6997291215,08:00-19:00,False,101,101,,2025-02-26 21:06:07
HDFC Bank,IN,INR,IMPS,1684,10,True,IN9196633628,00:00-23:59,False,1597,1597,,2025-02-06 20:49:55
First Bank,US,USD,Fedwire,2743,16,False,225771925,08:30-17:00,False,2540,2540,,2025-02-25 12:49:33
National Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,3125,7,False,DQZEGB0R,08:00-17:00,False,151,151,,2025-04-07 02:13:02
National Kuwait Bank,KW,DKK,DOMESTIC_RAIL,2830,18,True,NIFWGB5SFP3,08:00-17:00,False,155,155,,2025-04-02 10:53:15
Andhra Bank,IN,INR,RTGS,3588,3,True,IN3484073801,00:00-23:59,False,2600,2600,,2025-01-28 06:24:02
National Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,768,15,True,THNCGB8U,08:00-17:00,False,204,204,,2025-03-10 02:19:19
Kuwait Bank,KW,EUR,DOMESTIC_RAIL,436,3,True,UWIAGBL9,08:00-17:00,True,1237,1237,,2025-04-06 16:57:59
Volksbank,DE,EUR,ELIXIR,2784,15,True,ZWOYGBQF2XD,08:00-16:00,True,214,214,,2025-02-23 18:52:25
Midwest Bank,US,USD,CHIPS,1361,19,True,391884899,00:00-23:59,True,1190,1190,,2025-02-09 06:14:17
Yes Bank,IN,INR,NEFT,1622,18,False,IN2022491685,08:00-19:00,False,65,-35,$1 off per 50 txn,2025-04-16 01:48:06
ABC International Bank plc,UK,GBP,DIRECT,487,8,True,URIMGB6O,00:00-23:59,False,26,26,,2025-01-24 22:42:11
ICICI Bank,IN,INR,UPI,3011,5,True,IN6107693875,00:00-23:59,False,51,51,,2025-04-11 08:43:32
HSBC,UK,USD,SWIFT,59056,14,True,WRTPGBGL,00:00-23:59,False,2675,2675,,2025-02-28 15:17:25
Landesbank Baden-W�rttemberg,DE,EUR,ELIXIR,3032,14,True,ECJXGBCO,08:00-16:00,True,171,171,,2025-02-22 13:46:30
Punjab National Bank,IN,INR,NEFT,2716,16,True,IN2479335809,08:00-19:00,False,63,63,,2025-01-29 08:11:49
Santander,DE,EUR,SEPA,1347,5,False,FKAZGBYLH6T,00:00-23:59,False,42,42,,2025-02-06 00:40:41
Avenues Bank,US,USD,ACH,3511,13,True,190030881,00:00-23:59,False,182,182,,2025-01-24 20:46:18
SunTrust Bank,US,USD,CHIPS,1975,17,True,694018013,00:00-23:59,False,1106,1106,,2025-02-25 02:25:30
Liberty Bank,US,USD,ACH,2080,12,True,436402484,00:00-23:59,False,73,73,,2025-02-04 10:47:52
ICICI Bank,IN,INR,NEFT,3144,3,True,IN4146865804,08:00-19:00,False,149,149,,2025-01-01 09:02:02
First Direct,UK,GBP,CHAPS,1611,6,True,YNPYGBX4,08:00-16:00,False,240,240,,2025-04-15 07:02:41
Bank of Ireland,UK,USD,CHAPS,1042,19,False,GDLXGBCR,08:00-16:00,False,1183,1183,,2025-02-18 09:44:08
DZ Bank,DE,EUR,ELIXIR,791,6,True,KSMZGB39,08:00-16:00,False,190,190,,2025-04-23 21:40:52
Deutsche Bank,DE,EUR,SEPA,541,10,True,FHDTGBXI,00:00-23:59,False,1144,1044,$1 off per 50 txn,2025-03-28 14:34:48
Santander UK,UK,GBP,CHAPS,3446,20,True,CAXRGBIGQK9,08:00-16:00,False,1312,1312,,2025-01-10 08:24:29
Guyana Bank,GY,USD,DOMESTIC_RAIL,1312,9,True,THNMGBW307B,08:00-17:00,True,1252,1252,,2025-02-23 08:42:37
Fidor Bank,DE,EUR,SEPA,3170,13,True,QJSTGBKX,00:00-23:59,True,193,193,,2025-02-15 06:47:48
IndusInd Bank,IN,INR,NEFT,1373,10,True,IN5226561386,08:00-19:00,False,109,109,,2025-01-29 08:42:58
Volkswagen Bank,DE,EUR,ELIXIR,2323,20,True,GVDBGBH8,08:00-16:00,False,264,264,,2025-01-03 12:06:49
Canara Bank,IN,INR,IMPS,340,2,True,IN2177101430,00:00-23:59,True,1539,1539,,2025-01-26 05:51:41
Volksbank,DE,EUR,ELIXIR,2054,12,True,BFJKGBI3WTD,08:00-16:00,False,192,192,,2025-01-10 02:28:56
Chase,US,USD,ACH,1304,19,False,493960068,00:00-23:59,False,89,89,,2025-03-28 06:43:08
N26,DE,EUR,ELIXIR,1739,1,True,PYLHGBID,08:00-16:00,False,235,235,,2025-03-26 14:55:22
HSBC,UK,GBP,CHAPS,2810,18,True,HBVVGBU1ZS4,08:00-16:00,False,1252,1252,,2025-03-05 23:47:42
Nationwide,UK,GBP,CHAPS,2001,19,True,IRXZGB5633T,08:00-16:00,True,320,320,,2025-03-15 08:30:50
Bank of the West,US,USD,CHIPS,539,8,True,107948256,00:00-23:59,False,1039,989,50 cent discount,2025-01-31 13:32:34
Metro Bank,UK,GBP,DIRECT,1709,1,True,OLMYGBSB,00:00-23:59,False,1118,1118,,2025-01-03 11:33:05
Nationwide,UK,GBP,CHAPS,2763,8,True,KNHQGBSLT0H,08:00-16:00,False,333,333,,2025-01-16 21:57:16
IDBI Bank,IN,INR,RTGS,558,18,True,IN5432786037,00:00-23:59,True,2636,2636,,2025-02-09 17:33:32
Santander,DE,EUR,ELIXIR,1903,19,True,WUKPGB0BNGH,08:00-16:00,False,1244,1244,,2025-03-19 23:15:51
First Federal Bank of Chicago,US,USD,ACH,1976,4,False,844450803,00:00-23:59,False,176,176,,2025-02-25 16:11:52
Great Western Bank,US,USD,CHIPS,1777,0,False,196938921,00:00-23:59,True,1195,1195,,2025-03-02 12:12:20
First Direct,UK,GBP,CHAPS,1412,5,True,LXCMGBSD,08:00-16:00,False,294,294,,2025-04-11 08:43:49
N26,DE,EUR,SEPA,743,12,True,EMKMGBDSSB0,00:00-23:59,False,148,148,,2025-01-06 19:36:22
Barclays,UK,GBP,DIRECT,1184,11,True,KNVYGBDN,00:00-23:59,True,206,206,,2025-04-13 21:16:38
Hamburg Commercial Bank,DE,EUR,SEPA,3389,16,False,WZQSGB0H,00:00-23:59,False,27,27,,2025-01-31 21:40:20
Guyana Bank,GY,RWF,DOMESTIC_RAIL,2592,5,False,HRSDGBTS9TN,08:00-17:00,False,205,205,,2025-02-12 14:57:13
NatWest,UK,GBP,CHAPS,2846,10,True,GXGHGB1E,08:00-16:00,False,174,174,,2025-01-08 23:43:25
Chase,US,USD,ACH,317,19,True,670618682,00:00-23:59,False,117,117,,2025-04-15 15:20:01
American Express Bank,US,USD,ACH,878,8,False,095220292,00:00-23:59,False,180,180,,2025-03-03 12:49:06
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,1239,0,True,WNYNGBZ7,08:00-17:00,True,1417,1417,,2025-02-16 00:38:33
Bank of Maharashtra,IN,INR,UPI,3315,14,True,IN2236938481,00:00-23:59,False,155,155,,2025-01-23 17:23:00
National Sri Lanka Bank,LK,EUR,SWIFT,44093,20,True,PMNAGBGSIND,00:00-23:59,False,2662,2662,,2025-01-17 11:48:54
Kotak Mahindra Bank,IN,INR,RTGS,1367,13,False,IN3434040142,00:00-23:59,False,2564,2564,,2025-03-06 15:21:49
Provident Bank,US,USD,CHIPS,638,3,True,941983609,00:00-23:59,False,1052,1052,,2025-01-20 06:35:15
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,2342,8,True,NDQGGBBCOOB,08:00-17:00,False,211,211,,2025-03-24 09:08:29
Sparkasse,DE,EUR,SEPA,2257,1,True,XMWMGBCOVKR,00:00-23:59,False,197,197,,2025-01-27 23:15:22
Allied Bank,US,USD,ACH,2441,16,True,310160311,00:00-23:59,False,215,215,,2025-03-25 04:21:01
Kotak Mahindra Bank,IN,INR,NEFT,1767,17,False,IN7876254744,08:00-19:00,False,157,157,,2025-02-14 02:52:39
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,1659,5,True,KTTSGBWIALP,08:00-17:00,False,130,130,,2025-02-27 16:29:06
Guyana Bank,GY,RWF,DOMESTIC_RAIL,356,11,True,NZORGBSYQ49,08:00-17:00,True,237,237,,2025-01-26 11:49:02
Heritage Bank,US,USD,CHIPS,2014,6,True,191634545,00:00-23:59,False,1094,1094,,2025-01-06 05:44:09
Fidor Bank,DE,EUR,ELIXIR,2504,10,False,UOLLGB7G,08:00-16:00,False,325,325,,2025-02-13 10:16:11
Postbank,DE,EUR,SEPA,3400,19,True,ODARGBYO,00:00-23:59,False,110,110,,2025-01-30 09:50:56
Bank of Ireland,UK,GBP,CHAPS,1681,5,True,IVBTGBXW,08:00-16:00,False,172,172,,2025-03-06 12:18:34
Union Bank of India,IN,INR,RTGS,3557,14,False,IN8863891075,00:00-23:59,False,2592,2592,,2025-01-02 05:46:35
Royal Bank of Scotland,UK,GBP,CHAPS,345,16,True,UAZDGBTW7JO,08:00-16:00,False,341,341,,2025-04-21 08:54:27
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,3009,20,True,EJYVGBS65RR,08:00-17:00,False,270,270,,2025-03-12 19:33:40
PNC Bank,US,USD,CHIPS,916,4,True,165313688,00:00-23:59,False,1151,1151,,2025-02-04 08:35:30
Volkswagen Bank,DE,EUR,SEPA,3224,10,False,WEUYGB7N,00:00-23:59,False,162,162,,2025-04-08 21:25:29
Midwest Bank,US,USD,CHIPS,550,4,False,119874599,00:00-23:59,False,1064,1064,,2025-03-03 16:45:32
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,1386,1,True,BLZDGBUBG2O,08:00-17:00,True,221,155,30% weekend discount,2025-02-01 22:45:40
